img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/2082763ccc.jpg,NBA Live 98,PS,Sports,EA Sports,EA Canada,,1.51,1.41,,0.06,0.04,30/11/97,
/games/boxart/full_110395PALFrontccc.jpg,Call of Duty: Black Ops II,PC,Shooter,Activision,Treyarch,,1.51,0.66,,0.7,0.15,13/11/12,07/04/18
/games/boxart/full_869186AmericaFrontccc.jpg,Tomb Raider: Definitive Edition,PS4,Action-Adventure,Square Enix,Crystal Dynamics,,1.51,0.47,0.06,0.74,0.23,28/01/14,13/06/18
/games/boxart/6945135ccc.jpg,Simpsons Wrestling,PS,Fighting,Activision,Big Ape Productions,,1.51,0.23,,1.16,0.11,12/04/01,
/games/boxart/full_4085281AmericaFrontccc.jpg,Monopoly,PS,Misc,Hasbro Interactive,Gremlin Interactive,,1.51,1.18,,0.27,0.05,31/10/97,
/games/boxart/full_5186235JapanFrontccc.jpg,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,Platform,Hudson Soft,Hudson Soft,,1.5,,1.5,,0,05/03/86,
/games/boxart/601232ccc.jpg,Rock Band 2,PS3,Misc,MTV Games,Harmonix Music Systems,8.9,1.5,1.13,,0.2,0.16,19/10/08,
/games/boxart/8977809ccc.jpg,Pac-Man World,PS,Action,Namco,Namco,,1.5,1.21,0.1,0.14,0.04,30/09/99,
/games/boxart/full_9083733AmericaFrontccc.jpg,Tokyo Xtreme Racer Zero,PS2,Racing,Crave Entertainment,Genki,,1.5,0.66,0.15,0.52,0.17,28/05/01,
/games/boxart/2196543ccc.jpg,Madden NFL 2001,PS2,Sports,EA Sports,EA Sports,,1.5,1.19,0.05,0.07,0.2,23/10/00,
/games/boxart/full_football-manager-2012_589PALFront.jpg,Football Manager 2012,PC,Sports,Sega,Sega,8.5,1.5,0.02,,1.16,0.32,21/10/11,
/games/boxart/7140334ccc.jpg,WWF No Mercy,N64,Fighting,THQ,Aki Corp.,9.1,1.5,1.2,0.02,0.27,0.02,17/11/00,
/games/boxart/full_9185103AmericaFrontccc.jpg,SoulCalibur II,GC,Fighting,Namco,Namco,9.2,1.5,0.99,0.11,0.32,0.08,27/08/03,
/games/boxart/2124343ccc.jpg,Red Faction II,PS2,Shooter,THQ,Volition Inc.,8.6,1.5,0.49,,0.78,0.23,15/10/02,
/games/boxart/full_4170984AmericaFrontccc.png,Rayman Legends,PS4,Platform,Ubisoft,Ubisoft Montpellier,,1.5,0.22,,1.05,0.23,18/02/14,20/03/18
/games/boxart/full_4460136AmericaFrontccc.jpg,NFL Blitz,PS,Sports,Midway Games,Midway Games,9.1,1.5,1.41,,0.05,0.04,12/09/98,
/games/boxart/full_6977688AmericaFrontccc.jpg,Metal Gear Rising: Revengeance,PS3,Action,Konami Digital Entertainment,PlatinumGames,9,1.5,0.47,0.44,0.41,0.18,19/02/13,12/01/18
/games/boxart/full_dead-rising-2_9AmericaFront.jpg,Dead Rising 2,X360,Action,Capcom,Blue Castle Games,8.2,1.49,0.75,0.09,0.53,0.13,28/09/10,
/games/boxart/full_mafia-ii_4AmericaFront.jpg,Mafia II,PS3,Action,2K Games,Illusion Softworks,7,1.49,0.5,0.04,0.7,0.25,24/08/10,
/games/boxart/full_1916775AmericaFrontccc.png,Mass Effect: Andromeda,PS4,Role-Playing,Electronic Arts,BioWare Corp.,,1.49,0.58,,0.67,0.25,21/03/17,03/07/18
/games/boxart/full_3518377AmericaFrontccc.jpg,Madden NFL 09,PS2,Sports,EA Sports,EA Tiburon,,1.49,1.22,,0,0.27,12/08/08,
/games/boxart/full_6917012AmericaFrontccc.jpeg,Madden NFL 15,PS3,Sports,EA Sports,EA Tiburon,,1.49,1.11,,0.11,0.28,26/08/14,04/01/18
/games/boxart/full_3542984AmericaFrontccc.jpg,Medal of Honor: Frontline,XB,Shooter,Electronic Arts,EA Los Angeles,,1.49,1,,0.43,0.06,10/11/02,
